"Date","Price","Open","High","Low","Vol.","Change %"
"May 12, 2000","109.90","111.25","111.51","109.80","-","-1.45%"
"May 11, 2000","111.52","111.19","111.53","110.67","-","0.65%"
"May 10, 2000","110.80","110.68","110.88","110.30","-","0.05%"
"May 09, 2000","110.75","111.34","111.65","110.66","-","-0.63%"
"May 08, 2000","111.45","111.31","111.86","110.82","-","0.13%"
"May 05, 2000","111.31","111.61","111.96","110.96","-","-0.44%"
"May 04, 2000","111.80","111.34","112.23","111.21","-","0.49%"
"May 03, 2000","111.26","110.03","111.82","109.98","-","0.91%"
"May 02, 2000","110.26","109.61","110.61","109.51","-","0.57%"
"May 01, 2000","109.63","109.90","110.35","109.60","-","-0.46%"
"Apr 28, 2000","110.14","109.53","110.32","109.41","-","0.52%"
"Apr 27, 2000","109.57","108.55","109.94","108.43","-","0.94%"
"Apr 26, 2000","108.55","108.62","108.93","108.29","-","-0.13%"
"Apr 25, 2000","108.69","107.32","109.00","107.24","-","1.31%"
"Apr 24, 2000","107.28","107.08","107.37","106.78","-","-0.16%"
"Apr 20, 2000","107.45","107.12","107.55","106.90","-","0.30%"
"Apr 19, 2000","107.13","106.76","107.48","106.45","-","0.47%"
"Apr 18, 2000","106.63","106.55","106.74","106.24","-","0.47%"
"Apr 17, 2000","106.13","105.30","106.19","104.96","-","0.36%"
"Apr 14, 2000","105.75","106.28","106.42","105.51","-","-0.37%"
"Apr 13, 2000","106.14","105.75","106.36","105.68","-","0.17%"
"Apr 12, 2000","105.96","105.89","106.31","105.67","-","0.02%"
"Apr 11, 2000","105.94","105.58","106.10","105.48","-","0.25%"
"Apr 10, 2000","105.68","106.08","106.14","105.55","-","-0.27%"
"Apr 07, 2000","105.97","105.71","106.06","105.47","-","0.43%"
"Apr 06, 2000","105.52","105.44","105.73","105.16","-","0.22%"
"Apr 05, 2000","105.29","105.27","105.54","104.71","-","0.11%"
"Apr 04, 2000","105.17","105.79","106.15","104.23","-","-0.35%"
"Apr 03, 2000","105.54","105.61","106.18","105.35","-","0.09%"
"Mar 31, 2000","105.44","105.51","105.84","105.16","-","-0.03%"
"Mar 30, 2000","105.47","106.07","106.22","105.38","-","-0.73%"
"Mar 29, 2000","106.25","105.84","106.52","105.61","-","0.68%"
"Mar 28, 2000","105.53","105.38","105.64","104.95","-","0.08%"
"Mar 27, 2000","105.45","104.67","105.66","104.48","-","0.65%"
"Mar 24, 2000","104.77","105.20","105.45","104.65","-","-0.44%"
"Mar 23, 2000","105.23","106.02","106.15","105.11","-","-0.76%"
"Mar 22, 2000","106.04","106.21","106.34","105.80","-","0.22%"
"Mar 21, 2000","105.81","105.15","105.84","105.12","-","0.63%"
"Mar 20, 2000","105.15","105.32","105.54","105.08","-","-0.05%"
"Mar 17, 2000","105.20","105.17","105.61","105.15","-","0.02%"
"Mar 16, 2000","105.18","105.59","105.63","104.96","-","-0.19%"
"Mar 15, 2000","105.38","105.25","105.67","105.11","-","0.08%"
"Mar 14, 2000","105.30","105.54","105.89","105.21","-","-0.19%"
"Mar 13, 2000","105.50","105.76","105.80","104.84","-","-0.20%"
"Mar 10, 2000","105.71","105.46","105.95","105.28","-","0.32%"
"Mar 09, 2000","105.37","105.76","105.97","105.22","-","-0.53%"
"Mar 08, 2000","105.93","105.99","106.61","105.74","-","-0.15%"
"Mar 07, 2000","106.09","106.21","106.39","105.84","-","-0.07%"
"Mar 06, 2000","106.16","106.21","106.35","105.47","-","0.15%"
"Mar 03, 2000","106.00","105.92","106.14","105.55","-","0.33%"
