"Date","Price","Open","High","Low","Change %"
"Apr 14, 2000","5.860","5.860","5.860","5.860","-1.20%"
"Apr 13, 2000","5.931","5.931","5.931","5.931","-0.27%"
"Apr 12, 2000","5.947","5.947","5.947","5.947","1.09%"
"Apr 11, 2000","5.883","5.883","5.883","5.883","1.34%"
"Apr 10, 2000","5.805","5.805","5.805","5.805","-0.68%"
"Apr 07, 2000","5.845","5.845","5.845","5.845","-1.32%"
"Apr 06, 2000","5.923","5.923","5.923","5.923","0.90%"
"Apr 05, 2000","5.870","5.870","5.870","5.870","-0.29%"
"Apr 04, 2000","5.887","5.887","5.887","5.887","-1.31%"
"Apr 03, 2000","5.965","5.965","5.965","5.965","-0.62%"
"Mar 31, 2000","6.002","6.002","6.002","6.002","-0.76%"
"Mar 30, 2000","6.048","6.048","6.048","6.048","-1.64%"
"Mar 29, 2000","6.149","6.149","6.149","6.149","-0.07%"
"Mar 28, 2000","6.153","6.153","6.153","6.153","-0.55%"
"Mar 27, 2000","6.187","6.187","6.187","6.187","-0.06%"
"Mar 24, 2000","6.191","6.191","6.191","6.191","1.71%"
"Mar 23, 2000","6.087","6.087","6.087","6.087","-0.54%"
"Mar 22, 2000","6.120","6.120","6.120","6.120","-0.34%"
"Mar 21, 2000","6.141","6.141","6.141","6.141","-0.82%"
"Mar 20, 2000","6.192","6.192","6.192","6.192","-0.19%"
"Mar 17, 2000","6.204","6.204","6.204","6.204","-0.69%"
"Mar 16, 2000","6.247","6.247","6.247","6.247","-0.60%"
"Mar 15, 2000","6.285","6.285","6.285","6.285","-0.14%"
"Mar 14, 2000","6.294","6.294","6.294","6.294","-1.19%"
"Mar 13, 2000","6.370","6.370","6.370","6.370","-0.27%"
"Mar 10, 2000","6.387","6.387","6.387","6.387","0.60%"
"Mar 09, 2000","6.349","6.349","6.349","6.349","-0.67%"
"Mar 08, 2000","6.392","6.392","6.392","6.392","0.33%"
"Mar 07, 2000","6.371","6.371","6.371","6.371","-0.65%"
"Mar 06, 2000","6.413","6.413","6.413","6.413","0.53%"
"Mar 03, 2000","6.379","6.379","6.379","6.379","-0.14%"
"Mar 02, 2000","6.388","6.388","6.388","6.388","0.06%"
"Mar 01, 2000","6.384","6.384","6.384","6.384","-0.39%"
"Feb 29, 2000","6.409","6.409","6.409","6.409","-0.14%"
"Feb 28, 2000","6.418","6.418","6.418","6.418","1.28%"
"Feb 25, 2000","6.337","6.337","6.337","6.337","-0.47%"
"Feb 24, 2000","6.367","6.367","6.367","6.367","-0.86%"
"Feb 23, 2000","6.422","6.422","6.422","6.422","0.93%"
"Feb 22, 2000","6.363","6.363","6.363","6.363","-1.85%"
"Feb 18, 2000","6.483","6.483","6.483","6.483","-1.17%"
"Feb 17, 2000","6.560","6.560","6.560","6.560","0.26%"
"Feb 16, 2000","6.543","6.543","6.543","6.543","-0.14%"
"Feb 15, 2000","6.552","6.552","6.552","6.552","-0.12%"
"Feb 14, 2000","6.560","6.560","6.560","6.560","-0.53%"
"Feb 11, 2000","6.595","6.595","6.595","6.595","-1.17%"
"Feb 10, 2000","6.673","6.673","6.673","6.673","0.06%"
"Feb 09, 2000","6.669","6.669","6.669","6.669","0.77%"
"Feb 08, 2000","6.618","6.618","6.618","6.618","-0.41%"
"Feb 07, 2000","6.645","6.645","6.645","6.645","1.33%"
"Feb 04, 2000","6.558","6.558","6.558","6.558","1.71%"
"Feb 03, 2000","6.448","6.448","6.448","6.448","-1.93%"
"Feb 02, 2000","6.575","6.575","6.575","6.575","-0.77%"
"Feb 01, 2000","6.626","6.626","6.626","6.626","-0.54%"
"Jan 31, 2000","6.662","6.662","6.662","6.662","0.06%"
"Jan 28, 2000","6.658","6.658","6.658","6.658","-0.61%"
"Jan 27, 2000","6.699","6.699","6.699","6.699","0.50%"
"Jan 26, 2000","6.666","6.666","6.666","6.666","-0.42%"
"Jan 25, 2000","6.694","6.694","6.694","6.694","0.07%"
"Jan 24, 2000","6.689","6.689","6.689","6.689","-1.23%"
"Jan 21, 2000","6.772","6.772","6.772","6.772","-0.27%"
"Jan 20, 2000","6.790","6.790","6.790","6.790","0.89%"
"Jan 19, 2000","6.730","6.730","6.730","6.730","-0.34%"
"Jan 18, 2000","6.753","6.753","6.753","6.753","1.05%"
"Jan 17, 2000","6.683","6.683","6.683","6.683","-0.07%"
"Jan 14, 2000","6.688","6.688","6.688","6.688","0.84%"
"Jan 13, 2000","6.632","6.632","6.632","6.632","-1.03%"
"Jan 12, 2000","6.701","6.701","6.701","6.701","0.63%"
"Jan 11, 2000","6.659","6.659","6.659","6.659","1.60%"
"Jan 10, 2000","6.554","6.554","6.554","6.554","0.63%"
"Jan 07, 2000","6.513","6.513","6.513","6.513","-0.41%"
"Jan 06, 2000","6.540","6.540","6.540","6.540","-0.89%"
"Jan 05, 2000","6.599","6.599","6.599","6.599","1.54%"
"Jan 04, 2000","6.499","6.499","6.499","6.499","-1.44%"
"Jan 03, 2000","6.594","6.594","6.594","6.594","2.47%"
"Dec 31, 1999","6.435","6.435","6.435","6.435","1.05%"
"Dec 30, 1999","6.368","6.368","6.368","6.368","-0.34%"
"Dec 29, 1999","6.390","6.390","6.390","6.390","-0.42%"
"Dec 28, 1999","6.417","6.417","6.417","6.417","0.28%"
"Dec 27, 1999","6.399","6.399","6.399","6.399","5.16%"
"Dec 24, 1999","6.085","6.085","6.085","6.085","-5.23%"
"Dec 23, 1999","6.421","6.421","6.421","6.421","0.71%"
"Dec 22, 1999","6.376","6.376","6.376","6.376","0.00%"
"Dec 21, 1999","6.376","6.376","6.376","6.376","0.28%"
